,eid,citedby_count,publicationName,author_names,coverDate,coverYear,category
1908,2-s2.0-0037439747,47.0,Journal of Cell Science,"Chabregas, Sabrina M.;Luche, Douglas D.;Van Sluys, Marie Ann;Menck, Carlos F M;Silva-Filho, Marcio C.",2003-01-15,2003,2.0
1909,2-s2.0-0942278966,240.0,Biochimie,"Costa, Renata M.A.;Chiganças, Vanessa;Galhardo, Rodrigo Da Silva;Carvalho, Helotonio;Menck, Carlos F.M.",2003-01-01,2003,1.0
1910,2-s2.0-0345686477,19.0,Mutation Research - Reviews in Mutation Research,"Carvalho, Helotonio;Da Costa, Renata Maria Augusto;Chiganças, Vanessa;Weinlich, Ricardo;Brumatti, Gabriela;Amarante-Mendes, Gustavo P.;Sarasin, Alain;Menck, Carlos Frederico Martins",2003-01-01,2003,1.0
1911,2-s2.0-0037027881,23.0,DNA Repair,"Cavalcante, Ana Karina Dias;Martinez, Glaucia Regina;Di Mascio, Paolo;Menck, Carlos Frederico Martins;Agnez-Lima, Lucymara Fassarella",2002-12-05,2002,2.0
1912,2-s2.0-0036031520,122.0,Annual Review of Phytopathology,"Van Sluys, M. A.;Monteiro-Vitorello, C. B.;Camargo, L. E.A.;Menck, C. F.M.;Da Silva, A. C.R.;Ferro, J. A.;Oliveira, M. C.;Setubal, J. C.;Kitajima, J. P.;Simpson, A. J.",2002-11-10,2002,2.0
1913,2-s2.0-0036842202,22.0,Nature Genetics,"Menck, Carlos F M",2002-11-01,2002,1.0
1914,2-s2.0-0037198266,11.0,DNA Repair,"Jorge, Soraia A.C.;Menck, Carlos F.M.;Sies, Helmut;Osborne, Martin R.;Phillips, David H.;Sarasin, Alain;Stary, Anne",2002-05-30,2002,2.0
1915,2-s2.0-0037161811,768.0,Nature,"Da Silva, A. C.R.;Ferro, J. A.;Reinach, F. C.;Farah, C. S.;Furlan, L. R.;Quaggio, R. B.;Monteiro-Vitorello, C. B.;Van Sluys, M. A.;Almeida, N. F.;Alves, L. M.C.;Do Amaral, A. M.;Bertolini, M. C.;Camargo, L. E.A.;Camarotte, G.;Cannavan, F.;Cardozo, J.;Chambergo, F.;Ciapina, L. P.;Cicarelli, R. M.B.;Coutinho, L. L.;Cursino-Santos, J. R.;El-Dorry, H.;Faria, J. B.;Ferreira, A. J.S.;Ferreira, R. C.C.;Ferro, M. I.T.;Formighieri, E. F.;Franco, M. C.;Greggio, C. C.;Gruber, A.;Katsuyama, A. M.;Kishi, L. T.;Leite, R. P.;Lemos, E. G.M.;Lemos, M. V.F.;Locali, E. C.;Machado, M. A.;Madeira, A. M.B.N.;Martinez-Rossi, N. M.;Martins, E. C.;Meidanis, J.;Menck, C. F.M.;Miyaki, C. Y.;Moon, D. H.;Moreira, L. M.;Novo, M. T.M.;Okura, V. K.;Oliveira, M. C.;Oliveira, V. R.;Pereira, H. A.;Rossi, A.;Sena, J. A.D.;Silva, C.;De Souza, R. F.;Spinola, L. A.F.;Takita, M. A.;Tamura, R. E.;Teixeira, E. C.;Tezza, R. I.D.;Trindade dos Santos, M.;Truffi, D.;Tsai, S. M.;White, F. F.;Setubal, J. C.;Kitajima, J. P.",2002-05-23,2002,2.0
1916,2-s2.0-0036595553,4.0,Memorias do Instituto Oswaldo Cruz,"Magalhães, G. S.;Muotri, A. R.;Marchetto, M. C.N.;Menck, C. F.M.;Ventura, A. M.",2002-01-01,2002,1.0
1917,2-s2.0-0036790477,17.0,Cell Death and Differentiation,"Chigancças, V.;Batista, L. F.Z.;Brumatt, G.;Amarante-Mendes, G. P.;Yasu, A.;Menck, C. F.M.",2002-01-01,2002,1.0
1918,2-s2.0-0036317094,26.0,Carcinogenesis,"Muotri, Alysson R.;Marchetto, Maria C.N.;Suzuki, Miriam F.;Okazaki, Kayo;Lotfi, Claudimara F.P.;Brumatti, Gabriela;Amarante-Mendes, Gustavo P.;Menck, Carlos F.M.",2002-01-01,2002,1.0
1919,2-s2.0-0035739419,14.0,Genetics and Molecular Biology,"Costa, R. M.A.;Lima, W. C.;Vogel, C. I.G.;Berra, C. M.;Luche, D. D.;Medina-Silva, R.;Galhardo, R. S.;Menck, C. F.M.;Oliveira, V. R.",2001-12-01,2001,2.0
1920,2-s2.0-0035543402,40.0,Plant Journal,"Costa, Renata M.A.;Morgante, Patrícia G.;Berra, Carolina M.;Nakabashi, Myna;Bruneau, Dominique;Bouchez, David;Sweder, Kevin S.;Van Sluys, Marie Anne;Menck, Carlos F.M.",2001-12-01,2001,1.0
1921,2-s2.0-0034814080,57.0,Plant Molecular Biology,"Chabregas, Sabrina M.;Luche, Douglas D.;Farias, Leonardo P.;Ribeiro, Alberto F.;Van Sluys, Marie Anne;Menck, Carlos F M;Silva-Filho, Marcio C.",2001-10-09,2001,2.0
1922,2-s2.0-0034879109,16.0,Biological Chemistry,"Agnez-Lima, L. F.;Di Mascio, P.;Demple, B.;Menck, C. F.M.",2001-08-27,2001,1.0
1923,2-s2.0-0035394396,14.0,Nucleic Acids Research,"Agnez-Lima, L. F.;Napolitano, R. L.;Fuchs, R. P.P.;Di Mascio, P.;Muotri, A. R.;Menck, C. F.M.",2001-07-01,2001,1.0
1924,2-s2.0-0034805976,151.0,Critical Reviews in Microbiology,"Durán, Nelson;Menck, Carlos F.M.",2001-01-01,2001,1.0
1925,2-s2.0-0035739736,2.0,Genetics and Molecular Biology,"Lima, W. C.;Medina-Silva, R.;Galhardo, R. S.;Menck, C. F.M.",2001-01-01,2001,1.0
1926,2-s2.0-0034644159,638.0,Nature,"Simpson, A. J.G.;Reinach, F. C.;Arruda, P.;Abreu, F. A.;Acencio, M.;Alvarenga, R.;Alves, L. M.C.;Araya, J. E.;Baia, G. S.;Baptista, C. S.;Barros, M. H.;Bonaccorsi, E. D.;Bordin, S.;Bové, J. M.;Briones, M. R.S.;Bueno, M. R.P.;Camargo, A. A.;Camargo, L. E.A.;Carraro, D. M.;Carrer, H.;Colauto, N. B.;Colombo, C.;Costa, F. F.;Costa, M. C.R.;Costa-Neto, C. M.;Coutinho, L. L.;Cristofani, M.;Dias-Neto, E.;Docena, C.;El-Dorry, H.;Facincani, A. P.;Ferreira, A. J.S.;Ferreira, V. C.A.;Ferro, J. A.;Fraga, J. S.;França, S. C.;Franco, M. C.;Frohme, M.;Furlan, L. R.;Garnier, M.;Goldman, G. H.;Goldman, M. H.S.;Gomes, S. L.;Gruber, A.;Ho, P. L.;Hoheisel, J. D.;Junqueira, M. L.;Kemper, E. L.;Kitajima, J. P.;Krieger, J. E.;Kuramae, E. E.;Laigret, F.;Lambais, M. R.;Leite, L. C.C.;Lemos, E. G.M.;Lemos, M. V.F.;Lopes, S. A.;Lopes, C. R.;Machado, J. A.;Machado, M. A.;Madeira, A. M.B.N.;Madeira, H. M.F.;Marino, C. L.;Marques, M. V.;Martins, E. A.L.;Martins, E. M.F.;Matsukuma, A. Y.;Menck, C. F.M.;Miracca, E. C.;Miyaki, C. Y.;Monteiro-Vitorello, C. B.;Moon, D. H.;Nagai, M. A.;Nascimento, A. L.T.O.;Netto, L. E.S.;Nhani, A.;Nobrega, F. G.;Nunes, L. R.;Oliveira, M. A.;de Oliveira, M. C.;de Oliveira, R. C.;Palmieri, D. A.;Paris, A.;Peixoto, B. R.;Pereira, G. A.G.;Pereira, H. A.;Pesquero, J. B.;Quaggio, R. B.;Roberto, P. G.;Rodrigues, V.;Rosa, A. J.M.;de Rosa, V. E.;de Sá, R. G.;Santelli, R. V.;Sawasaki, H. E.;da Silva, A. C.R.;da Silva, A. M.;da Silva, F. R.;Silva, W. A.;da Silveira, J. F.",2000-07-13,2000,2.0
1927,2-s2.0-0343569966,40.0,Cancer Research,"Chiganças, Vanessa;Miyaji, Eliane Namie;Muotri, Alysson Renato;De Fátima Jacysyn, Jacqueline;Amarante-Mendes, Gustavo Pessini;Yasui, Akira;Menck, Carlos Frederico Martins",2000-05-01,2000,1.0
1928,2-s2.0-0034509967,0.0,Genetics and Molecular Biology,"Miyaji, E. N.;Johnson, R. T.;Downes, C. S.;Eveno, E.;Mezzina, M.;Sarasin, A.;Menck, C. F.M.",2000-01-01,2000,1.0
1929,2-s2.0-0032833304,34.0,Gene,"Muotri, Alysson Renato;Da Veiga Pereira, Lygia;Dos Reis Vasques, Luciana;Menck, Carlos Frederico Martins",1999-09-17,1999,1.0
1930,2-s2.0-0033593783,3.0,Plant Science,"Hashimoto, R. Y.;Menck, C. F.M.;Van Sluys, M. A.",1999-02-22,1999,2.0
1931,2-s2.0-0033212189,14.0,Photochemistry and Photobiology,"Agnez-Lima, Lucymara F.;Di Mascio, Paolo;Napolitano, Rita L.;Fuchs, Robert P.;Menck, Carlos F.M.",1999-01-01,1999,1.0
1932,2-s2.0-0032570837,33.0,Gene,"Ribeiro, Denise T.;MacHado, Carlos R.;Costa, Renata M.A.;Praekelt, Uta M.;Van Sluys, Marie Anne;Menck, Carlos F.M.",1998-02-22,1998,1.0
1933,2-s2.0-0032214231,9.0,Photochemistry and Photobiology,"Miyaji, Eliane N.;Menck, Carlos F.M.",1998-01-01,1998,1.0
1934,2-s2.0-0031576364,68.0,Journal of Molecular Biology,"Machado, Carlos R.;Praekelt, Uta M.;De Oliveira, Regina Costa;Barbosa, Ana Carolina C.;Byrne, Kerry L.;Meacock, Peter A.;Menck, Carlos F.M.",1997-10-17,1997,1.0
1935,2-s2.0-0031436034,7.0,Brazilian Journal of Genetics,"Machado, Carlos R.;Menck, Carlos F.M.",1997-01-01,1997,1.0
1936,2-s2.0-0000104090,7.0,Apoptosis,"Menck, C. F M",1996-12-01,1996,1.0
1937,2-s2.0-0030451628,3.0,Applied Microbiology and Biotechnology,"Jorge, S. A.C.;Hera, C.;Spina, A. M.M.;Moreira, R. C.;Pinho, J. R.R.;Menck, C. F.M.",1996-12-01,1996,1.0
1938,2-s2.0-0029924914,19.0,Carcinogenesis,"Agnez, Lucymara F.;Costa De Oliveira, Regina L.;Di Mascio, Paolo;Menck, Carlos F.M.",1996-05-01,1996,1.0
1939,2-s2.0-2242484793,1.0,Journal de Chimie Physique et de Physico-Chimie Biologique,"Di Mascio, P.;Medeiros, M. H.G.;Menck, C. F.M.",1996-01-01,1996,1.0
1940,2-s2.0-0030175154,70.0,Plant Molecular Biology,"Machado, C. R.;Costa De Oliveira, R. L.;Boiteux, S.;Praekelt, U. M.;Meacock, P. A.;Menck, C. F.M.",1996-01-01,1996,1.0
1941,2-s2.0-0029586035,1.0,Biotechnology Letters,"Jorge, Soraia A.C.;de la Hera, Maria Concepcion;Spina, Angela M.M.;Pinho, João Renato R.;Menck, Carlos F.M.",1995-12-01,1995,1.0
1942,2-s2.0-0029304368,5.0,Photochemistry and Photobiology,"Miyaji, Eliane N.;Menck, Carlos F M",1995-01-01,1995,1.0
1943,2-s2.0-0028955075,1.0,Revista Brasileira de Genetica,"Machado, C. R.;De Bueno, S. S.L.;Menck, C. F.M.",1995-01-01,1995,1.0
1944,2-s2.0-0028139262,2.0,Methods in Enzymology,"Menck, C. F.M.",1994-01-01,1994,1.0
1945,2-s2.0-0028484002,17.0,Free Radical Research,"Ribeiro, Denise T.;de Oliveira, Regina Costa;di Mascio, Paolo;Menck, Carlos F.M.",1994-01-01,1994,1.0
1946,2-s2.0-0026660239,50.0,Nucleic Acids Research,"De Biologia, Reginas Costa;Riberio, Denise T.;Nigro, Rogerio G.;Di Mascio, Paolo;Menck, Carlos F.M.",1992-08-25,1992,1.0
1947,2-s2.0-0026525109,19.0,Nucleic Acids Research,"Ribeiro, Denise T.;Bourre, François;Sarasin, Alain;Mascio, Paolo Di;Menck, Carlos F.M.",1992-05-25,1992,1.0
1948,2-s2.0-0026761340,182.0,Mutation Research DNAging,"Sies, Helmut;Menck, Carlos F.M.",1992-01-01,1992,1.0
1949,2-s2.0-0026759687,29.0,Mutation Research/Environmental Mutagenesis and Related Subjects,"Stary, Anne;Menck, Carlos F.M.;Sarasin, Alain",1992-01-01,1992,2.0
1950,2-s2.0-0026735986,8.0,Mutation Research-DNA Repair,"Madzak, Catherine;Cabral-Neto, Januario B.;Menck, Carlos F M;Sarasin, Alain",1992-01-01,1992,2.0
1951,2-s2.0-0026451809,37.0,Photochemistry and Photobiology,"Ribeiro, D. T.;Madzak, C.;Sarasin, A.;Mascio, P. DI;Sies, H.;Menck, C. F.M.",1992-01-01,1992,1.0
1952,2-s2.0-0025055195,2.0,Journal of General Virology,"Menck, C. F.M.;James, M.;Benoit, A.;Sarasin, A.",1990-01-01,1990,1.0
1953,2-s2.0-0025397754,41.0,Photochemistry and Photobiology,"Di Mascio, P.;Menck, C. F.M.;Nigro, R. G.;Sarasin, A.;Sies, H.",1990-01-01,1990,2.0
1954,2-s2.0-0024522697,16.0,Journal of Molecular Biology,"Madzak, C.;Menck, C. F M;Armier, J.;Sarasin, A.",1989-02-05,1989,2.0
1955,2-s2.0-0024538981,15.0,Mutation Research/Reviews in Genetic Toxicology,"Menck, C. F.M.;Madzak, C.;Renault, G.;Margot, A.;Sarasin, A.",1989-01-01,1989,1.0
1956,2-s2.0-0023707742,19.0,Journal of Virology,"Mezzina, M.;Menck, C. F M;Courtin, P.;Sarasin, A.",1988-01-01,1988,2.0
1957,2-s2.0-0023219071,14.0,Gene,"Menck, Carlos F M;Sarasin, Alain;James, Michael R.",1987-01-01,1987,1.0
1958,2-s2.0-0023073422,3.0,Journal of Cell Science,"Menck, C. F.M.;James, M. R.;Gentil, A.;Sarasin, A.",1987-01-01,1987,1.0
1959,2-s2.0-0022511891,3.0,Mutation Research Letters,"Van Sluys, Marie Anne;Alcantara-Gomes, Roberto;Martins Menck, Carlos Frederico",1986-01-01,1986,1.0
1960,2-s2.0-0022645116,8.0,Mutation Research DNA Repair Reports,"Menck, Carlos F.M.;Cabral-Neto, Januárico B.;Faljoni-Alário, A.;Alcantara-Gomes, Roberto",1986-01-01,1986,1.0
1961,2-s2.0-0020770997,5.0,Photochemistry and Photobiology,"Schumacher, R. Ivan;Menck, Carlos F.;Meneghini, Rogério",1983-01-01,1983,2.0
1962,2-s2.0-0020118247,12.0,Photochemistry and Photobiology,"Menck, Carlos F.M.",1982-01-01,1982,1.0
1963,2-s2.0-0019949305,9.0,Mutation Research - Fundamental and Molecular Mechanisms of Mutagenesis,"Menck, Carlos F M;Meneghini, Rogerio",1982-01-01,1982,1.0
1964,2-s2.0-0019602834,40.0,Quarterly Reviews of Biophysics,"Meneghini, Rogerio;Menck, Carlos F.M.;Schumacher, R. Ivan",1981-01-01,1981,2.0
1965,2-s2.0-85062779968,0.0,Brain Structure and Function,"de Andrade Rufino, Rodrigo;Mota-Ortiz, Sandra Regina;De Lima, Miguel Antonio Xavier;Baldo, Marcus Vinicius C.;Canteras, Newton Sabino",2019-05-01,2019,1.0
1966,2-s2.0-85041632581,3.0,Behavioural Brain Research,"Bindi, Ricardo Passoni;Baldo, Marcus Vinicius C.;Canteras, Newton Sabino",2018-04-16,2018,1.0
1967,2-s2.0-85036565869,2.0,Behavioural Brain Research,"Rangel, Miguel J.;Baldo, Marcus Vinicius C.;Canteras, Newton Sabino",2018-02-26,2018,1.0
1968,2-s2.0-85033579672,0.0,Scientific Reports,"Feher Da Silva, Carolina;Victorino, Camila Gomes;Caticha, Nestor;Baldo, Marcus Vinícius Chrysóstomo",2017-12-01,2017,1.0
1969,2-s2.0-84960099825,9.0,Brain Structure and Function,"de Lima, Miguel Antonio Xavier;Baldo, Marcus Vinicius C.;Canteras, Newton Sabino",2017-01-01,2017,1.0
1970,2-s2.0-84983390573,4.0,Behavioural Brain Research,"Viellard, Juliette;Baldo, Marcus Vinicius C.;Canteras, Newton Sabino",2016-12-15,2016,1.0
1971,2-s2.0-84996587412,6.0,Frontiers in Systems Neuroscience,"Rangel, Miguel J.;Baldo, Marcus V.C.;Canteras, Newton S.;Hahn, Joel D.",2016-11-14,2016,2.0
1972,2-s2.0-84943267973,4.0,Neuropsychologia,"Feher da Silva, Carolina;Morgero, Kelly Cristina Silva;Mota, Amanda Manzini;Piemonte, Maria Elisa Pimentel;Baldo, Marcus Vinícius Chrysóstomo",2015-11-01,2015,1.0
1973,2-s2.0-84936935286,2.0,Frontiers in Computational Neuroscience,"da Silva, Carolina Feher;Baldo, Marcus V.C.",2015-07-02,2015,1.0
1974,2-s2.0-84922002894,0.0,"Attention, Perception, and Psychophysics","Claessens, Peter M.E.;Oliveira Pereira, Lucas;Baldo, Marcus Vinícius C.",2014-01-01,2014,1.0
1975,2-s2.0-84901734239,11.0,Brain Structure and Function,"Faturi, C. B.;Rangel, M. J.;Baldo, M. V C;Canteras, N. S.",2014-01-01,2014,1.0
1976,2-s2.0-84883344452,19.0,Proceedings of the National Academy of Sciences of the United States of America,"Motta, Simone C.;Guimarães, Cibele Carla;Furigo, Isadora Clivatti;Sukikara, Marcia Harumi;Baldo, Marcus V.C.;Lonstein, Joseph S.;Canteras, Newton S.",2013-08-27,2013,1.0
1977,2-s2.0-84877986124,1.0,Behavioral and Brain Sciences,"Baldo, Marcus Vinícius C",2013-01-01,2013,1.0
1978,2-s2.0-84883718994,9.0,Consciousness and Cognition,"Cravo, Andre M.;Haddad, Hamilton;Claessens, Peter M.E.;Baldo, Marcus V.C.",2013-01-01,2013,1.0
1979,2-s2.0-84891691436,6.0,Journal of Sport and Exercise Psychology,"Put, Koen;Baldo, Marcus V.C.;Cravo, André M.;Wagemans, Johan;Helsen, Werner F.",2013-01-01,2013,2.0
1980,2-s2.0-84860465536,3.0,PLoS ONE,"da Silva, Carolina Feher;Baldo, Marcus Vinícius Chrysóstomo",2012-05-01,2012,1.0
1981,2-s2.0-80053172841,20.0,Behavioural Brain Research,"Mota-Ortiz, Sandra Regina;Sukikara, Marcia Harumi;Bittencourt, Jackson Cioni;Baldo, Marcus Vinícius;Elias, Carol Fuzeti;Felicio, Luciano Freitas;Canteras, Newton Sabino",2012-01-01,2012,1.0
1982,2-s2.0-78650744697,51.0,Neuroscience,"Martinez, R. C.;Carvalho-Netto, E. F.;Ribeiro-Barbosa, É R.;Baldo, M. V.C.;Canteras, N. S.",2011-01-13,2011,1.0
1983,2-s2.0-78650520090,6.0,Neuroscience Letters,"Carreiro, Luiz Renato Rodrigues;Haddad, Hamilton;Baldo, Marcus Vinicius Chrysóstomo",2011-01-10,2011,1.0
1984,2-s2.0-78650812587,39.0,Acta Psychologica,"Cravo, Andre M.;Claessens, Peter M.E.;Baldo, Marcus V.C.",2011-01-01,2011,1.0
1985,2-s2.0-77649236727,43.0,Behavioural Brain Research,"Sukikara, Marcia Harumi;Mota-Ortiz, Sandra Regina;Baldo, Marcus Vinícius;Felicio, Luciano Freitas;Canteras, Newton Sabino",2010-06-19,2010,1.0
1986,2-s2.0-77952543856,18.0,Neurobiology of Learning and Memory,"Carvalho-Netto, Eduardo F.;Martinez, Raquel C.R.;Baldo, Marcus Vinicius C.;Canteras, Newton Sabino",2010-05-01,2010,1.0
1987,2-s2.0-77649342614,19.0,Epilepsy and Behavior,"Matos, Gabriela;Tsai, Rodrigo;Baldo, Marcus Vinícius;de Castro, Isac;Sameshima, Koichi;Valle, Angela Cristina",2010-03-01,2010,2.0
1988,2-s2.0-70449622584,30.0,Neuroscience,"Furigo, I. C.;de Oliveira, W. F.;de Oliveira, A. R.;Comoli, E.;Baldo, M. V.C.;Mota-Ortiz, S. R.;Canteras, N. S.",2010-01-13,2010,1.0
1989,2-s2.0-84890923879,1.0,Space and Time in Perception and Action,"Baldo, Marcus V.C.;Klein, Stanley A.",2010-01-01,2010,1.0
1990,2-s2.0-78649914990,1.0,Behavioral and Brain Sciences,"Baldo, Marcus Vincius C.;Barberousse, Anouk",2010-01-01,2010,1.0
1991,2-s2.0-77956795901,4.0,American Journal of Physiology - Advances in Physiology Education,"Haddad, Hamilton;Baldo, Marcus Vinicius Chrysostomo",2010-01-01,2010,1.0
1992,2-s2.0-77953780168,12.0,Arquivos de Neuro-Psiquiatria,"Bolfer, Cristiana;Casella, Erasmo Barbante;Baldo, Marcus Vinícius Chrysóstomo;Mota, Amanda Manzini;Tsunemi, Miriam Harumi;Pacheco, Sandra Pasquali;Reed, Umbertina C.",2010-01-01,2010,2.0
1993,2-s2.0-63849121078,100.0,Proceedings of the National Academy of Sciences of the United States of America,"Motta, Simone C.;Goto, Marina;Gouveia, Flavia V.;Baldo, Marcus V.C.;Canteras, Newton S.;Swanson, Larry W.",2009-03-24,2009,2.0
1994,2-s2.0-70349705454,46.0,Experimental Brain Research,"Cravo, Andre M.;Claessens, Peter M.E.;Baldo, Marcus V.C.",2009-01-01,2009,1.0
1995,2-s2.0-57849164649,3.0,Perception,"Cravo, André M.;Baldo, Marcus V.C.",2008-12-29,2008,1.0
1996,2-s2.0-50449106472,65.0,European Journal of Neuroscience,"Cezario, A. F.;Ribeiro-Barbosa, E. R.;Baldo, M. V C;Canteras, N. S.",2008-09-01,2008,1.0
1997,2-s2.0-43749120054,1.0,Behavioral and Brain Sciences,"Baldo, Marcus Vinícius C.;Klein, Stanley A.",2008-04-01,2008,1.0
1998,2-s2.0-33847325397,5.0,Physiology and Behavior,"dos Santos, Lucélia M.;Ferro, Marcelo M.;Mota-Ortiz, Sandra R.;Baldo, Marcus V.;da Cunha, Cláudio;Canteras, Newton S.",2007-03-16,2007,1.0
1999,2-s2.0-35748971807,4.0,Spanish Journal of Psychology,"Baldo, Marcus Vinícius C.;Cravo, André M.;Haddad, Hamilton",2007-01-01,2007,1.0
2000,2-s2.0-33645645882,68.0,Journal of Neuroscience,"Sukikara, M. H.;Mota-Ortiz, S. R.;Baldo, M. V.;Felício, L. F.;Canteras, N. S.",2006-03-01,2006,1.0
2001,2-s2.0-33646181430,5.0,Brazilian Journal of Medical and Biological Research,"Rolim, N. P.L.;Mattos, K. C.;Brum, P. C.;Baldo, M. V.C.;Middlekauff, H. R.;Negrão, C. E.",2006-01-01,2006,2.0
2002,2-s2.0-22544440261,16.0,Vision Research,"Baldo, M. V C;Caticha, Nestor",2005-09-01,2005,1.0
2003,2-s2.0-3042774433,24.0,Perception,"Namba, Janaina;Baldo, Marcus Vinícius C.",2004-07-19,2004,1.0
2004,2-s2.0-0346458505,5.0,Revista Brasileira de Psiquiatria,"Baldo, Marcus Vinícius C.;Haddad, Hamilton",2003-12-01,2003,1.0
2005,2-s2.0-0041591001,4.0,Brazilian Journal of Medical and Biological Research,"Carreiro, L. R.R.;Haddad, H.;Baldo, M. V.C.",2003-07-01,2003,1.0
2006,2-s2.0-0037383586,11.0,International Journal of Psychophysiology,"Basile, Luis F.H.;Baldo, Marcus V.C.;De Castro, Cláudio C.;Gattaz, Wagner F.",2003-04-01,2003,2.0
2007,2-s2.0-0036043735,45.0,Perception,"Baldo, Marcus Vinicius C.;Ranvaud, Ronald D.;Morya, Edgard",2002-12-01,2002,1.0
2008,2-s2.0-0036370539,66.0,Perception,"Baldo, Marcus V.C.;Kihara, Alexandre H.;Namba, Janaina;Klein, Stanley A.",2002-12-01,2002,1.0
2009,2-s2.0-0036703818,12.0,Brazilian Journal of Medical and Biological Research,"Baldo, M. V.C.;Namba, J.",2002-08-01,2002,1.0
2010,2-s2.0-0036703451,5.0,Brazilian Journal of Medical and Biological Research,"Haddad, Jr;Carreiro, L. R R;Baldo, M. V C",2002-08-01,2002,1.0
2011,2-s2.0-0025618542,5.0,Brazilian journal of medical and biological research = Revista brasileira de pesquisas médicas e biológicas / Sociedade Brasileira de Biofísica ... [et al.],"Baldo, M. V.",1990-01-01,1990,1.0
2012,2-s2.0-0025657962,18.0,Brazilian journal of medical and biological research = Revista brasileira de pesquisas médicas e biológicas / Sociedade Brasileira de Biofísica ... [et al.],"Baldo, M. V.;Britto, L. R.",1990-01-01,1990,1.0
2013,2-s2.0-0024832855,0.0,Brazilian Journal of Medical and Biological Research,"Baldo, M. V.",1989-12-01,1989,1.0
2014,2-s2.0-85013785175,3.0,Memorias do Instituto Oswaldo Cruz,"Castrignano, Silvana Beres;Nagasse-Sugahara, Teresa Keico;Garrafa, Patrícia;Monezi, Telma Alves;Barrella, Karina Medici;Mehnert, Dolores Ursula",2017-03-01,2017,1.0
2015,2-s2.0-84960156077,6.0,Veterinary Microbiology,"Monezi, Telma A.;Mehnert, Dolores U.;de Moura, Elisabeth M.M.;Müller, Natascha M.G.;Garrafa, Patrícia;Matushima, Eliana R.;Werneck, Max R.;Borella, Maria I.",2016-04-15,2016,1.0
2016,2-s2.0-84964345702,9.0,Frontiers in Microbiology,"Alves, João M.P.;De Oliveira, André L.;Sandberg, Tatiana O.M.;Moreno-Gallego, Jaime L.;De Toledo, Marcelo A.F.;De Moura, Elisabeth M.M.;Oliveira, Liliane S.;Durham, Alan M.;Mehnert, Dolores U.;De Zanotto, Paolo M.A.;Reyes, Alejandro;Gruber, Arthur",2016-03-04,2016,1.0
2017,2-s2.0-84855920386,13.0,ISME Journal,"Gimenes, Manuela V.;Paolo, Paolo M.;Suttle, Curtis A.;Da Cunha, Hillândia B.;Mehnert, Dolores U.",2012-02-01,2012,1.0
2018,2-s2.0-80052095827,4.0,Research in Veterinary Science,"Jordão, Ricardo Spacagna;Ribeiro, Cláudia Pestana;Pituco, Edviges Maristela;Okuda, Líria Hiromi;Fava, Cláudia Del;Stefano, Eliana de;Filho, Moacir Marchiori;Mehnert, Dolores Ursula",2011-10-01,2011,1.0
2019,2-s2.0-67149133377,13.0,Brazilian Journal of Microbiology,"Barrella, Karina Medici;Garrafa, Patrícia;Monezi, Telma Alves;Hársi, Charlotte Marianna;Salvi, Cleber;Violante, Paula Alessandra B.Costa;Mehnert, Dolores Ursula",2009-01-01,2009,1.0
2020,2-s2.0-70349694107,10.0,Memorias do Instituto Oswaldo Cruz,"Siqueira-Silva, Joselma;Yeda, Fernanda Perez;Favier, Anne Laure;Mezin, Paulette;Silva, Misael Leonardo;Barrella, Karina Médici;Mehnert, Dolores Úrsula;Fender, Pascal;Hársi, Charlotte Marianna",2009-01-01,2009,1.0
2021,2-s2.0-34548276997,2.0,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,"Eduardo, Fernanda P.;Mehnert, Dolores U.;Monezi, Telma A.;Zezell, Denise M.;Schubert, Mark M.;Eduardo, Carlos P.;Marques, Márcia M.",2007-08-31,2007,2.0
2022,2-s2.0-34248148024,63.0,Lasers in Surgery and Medicine,"Eduardo, Fernanda P.;Mehnert, Dolores U.;Monezi, Telma A.;Zezell, Denise M.;Schubert, Mark M.;Eduardo, Carlos P.;Marques, Marcia M.",2007-04-01,2007,2.0
2023,2-s2.0-33845979803,31.0,Journal of Medical Virology,"Moura, Patrícia O.;Roberto, Adriana F.;Hein, Noely;Baldacci, Evandro;Vieira, Sandra E.;Ejzenberg, Bernardo;Perrini, Priscila;Stewien, Klaus E.;Durigon, Edison L.;Mehnert, Dolores U.;Hársi, Charlotte M.",2007-02-01,2007,1.0
2024,2-s2.0-33749369312,13.0,Veterinary Record,"Kolesnikovas, C. K.M.;Grego, K. F.;Rameh de Albuquerque, L. C.;Jacobson, E. R.;Monezi, T. A.;Mehnert, D. U.;Catão-Dias, J. L.",2006-09-16,2006,2.0
2025,2-s2.0-33750027752,3.0,Geomicrobiology Journal,"Piranha, J. M.;Pacheco, A.;Gamba, R. C.;Mehnert, D. U.;Garrafa, P.;Barrella, K. M.",2006-07-01,2006,2.0
2026,2-s2.0-2442651388,6.0,Water Science and Technology: Water Supply,"Santos, F. M.;Vieira, M. J.;Garrafa, P.;Monezi, T. A.;Pellizari, V. H.;Hársi, C. M.;Mehnert, D. U.",2004-01-01,2004,1.0
2027,2-s2.0-0035489393,42.0,Applied and Environmental Microbiology,"Queiroz, A. P.S.;Santos, F. M.;Sassaroli, A.;Hársi, C. M.;Monezi, T. A.;Mehnert, D. U.",2001-10-01,2001,1.0
